x	y	class	color	
34844.1328125	26406.33984375		-65536
35280.26953125	26407.017578125		-65536
33968.484375	26407.720703125		-65536
34282.76171875	26411.90234375		-65536
34810.96875	26421.1015625		-65536
35306.359375	26405.08984375		-65536
33598.1328125	26420.86328125		-65536
34417.046875	26404.953125		-65536
34386.70703125	26400.8125		-65536
34444.46484375	26407.63671875		-65536
34265.10546875	26402.53515625		-65536
34543.484375	26409.771484375		-65536
34657.36328125	26416.462890625		-65536
34957.765625	26404.515625		-65536
34471.69921875	26409.248046875		-65536
35246.078125	26407.828125		-65536
35347.6640625	26420.521484375		-65536
34005.48046875	26420.05859375		-65536
34147.90234375	26410.953125		-65536
34678.984375	26407.173828125		-65536
35212.8515625	26408.646484375		-65536
34569.93359375	26412.365234375		-65536
34868.57421875	26422.5546875		-65536
33677.64453125	26440.90234375		-65536
34191.328125	26410.54296875		-65536
34331.6953125	26417.529296875		-65536
33736.82421875	26423.3046875		-65536
33914.34375	26417.197265625		-65536
34505.484375	26424.984375		-65536
34785.4375	26436.05859375		-65536
34372.7421875	26427.0546875		-65536
34624.06640625	26423.05078125		-65536
34728.57421875	26421.9140625		-65536
34749.94921875	26436.203125		-65536
34590.5546875	26425.623046875		-65536
34686.9375	26431.9453125		-65536
34168.10546875	26438.263671875		-65536
34393.16796875	26438.263671875		-65536
34963.01171875	26426.947265625		-65536
35173.22265625	26431.099609375		-65536
35245.68359375	26429.470703125		-65536
33897.75390625	26444.708984375		-65536
34121.15234375	26431.345703125		-65536
34307.79296875	26434.0		-65536
34465.359375	26441.130859375		-65536
34075.28515625	26445.19921875		-65536
34433.75390625	26438.51953125		-65536
34914.53125	26437.064453125		-65536
34561.546875	26436.607421875		-65536
33947.9609375	26446.025390625		-65536
34338.7890625	26441.306640625		-65536
35041.703125	26437.544921875		-65536
34490.984375	26446.888671875		-65536
35007.96484375	26441.31640625		-65536
35346.703125	26453.88671875		-65536
34261.48046875	26447.18359375		-65536
34895.1328125	26458.1875		-65536
34720.77734375	26451.638671875		-65536
34963.76953125	26456.759765625		-65536
33724.0625	26458.412109375		-65536
34547.0859375	26452.228515625		-65536
35067.3359375	26453.52734375		-65536
34838.046875	26457.513671875		-65536
35186.4765625	26455.912109375		-65536
34259.015625	26475.095703125		-65536
35109.80078125	26457.611328125		-65536
35135.671875	26454.7265625		-65536
33856.88671875	26457.4921875		-65536
34043.23046875	26470.22265625		-65536
35282.3203125	26466.451171875		-65536
33604.89453125	26459.2265625		-65536
33808.96484375	26460.54296875		-65536
34417.61328125	26468.6484375		-65536
34803.43359375	26464.828125		-65536
34149.0078125	26468.091796875		-65536
34204.0625	26469.9921875		-65536
35210.79296875	26471.912109375		-65536
35243.84375	26474.0625		-65536
34307.37890625	26466.025390625		-65536
34510.05859375	26463.7265625		-65536
34858.70703125	26472.640625		-65536
34360.9296875	26484.39453125		-65536
34636.1484375	26468.3203125		-65536
34717.13671875	26499.482421875		-65536
34752.8515625	26479.703125		-65536
33640.06640625	26474.32421875		-65536
33693.859375	26493.287109375		-65536
33787.4765625	26473.66796875		-65536
33825.296875	26476.1796875		-65536
33967.4375	26487.943359375		-65536
35008.14453125	26477.353515625		-65536
35325.671875	26474.302734375		-65536
33911.4921875	26505.103515625		-65536
35055.70703125	26483.953125		-65536
35143.0703125	26479.00390625		-65536
35355.57421875	26487.39453125		-65536
33898.91796875	26477.43359375		-65536
34543.82421875	26479.798828125		-65536
34580.4375	26479.306640625		-65536
34498.51953125	26481.11328125		-65536
34781.87890625	26493.052734375		-65536
35107.109375	26484.75		-65536
34007.18359375	26502.162109375		-65536
34616.08984375	26485.666015625		-65536
35308.609375	26490.8125		-65536
34844.328125	26495.400390625		-65536
35169.203125	26488.302734375		-65536
33584.04296875	26497.912109375		-65536
34399.4375	26490.697265625		-65536
34452.48828125	26498.498046875		-65536
34913.95703125	26493.5		-65536
34961.57421875	26504.17578125		-65536
34817.921875	26504.599609375		-65536
34489.83203125	26504.41796875		-65536
34671.703125	26497.283203125		-65536
34219.2421875	26510.609375		-65536
34565.67578125	26503.681640625		-65536
33823.953125	26510.125		-65536
34056.28125	26502.20703125		-65536
35336.29296875	26499.482421875		-65536
33791.53515625	26512.712890625		-65536
35016.21875	26514.86328125		-65536
35076.42578125	26511.80859375		-65536
35132.59375	26504.1953125		-65536
35276.0234375	26508.744140625		-65536
34675.72265625	26545.333984375		-65536
34377.98046875	26509.23828125		-65536
34598.55078125	26518.91796875		-65536
34645.234375	26515.111328125		-65536
33653.578125	26519.169921875		-65536
34075.66796875	26511.466796875		-65536
34399.65625	26516.3125		-65536
34749.16796875	26513.513671875		-65536
34904.765625	26519.6875		-65536
35102.2890625	26510.4921875		-65536
33731.18359375	26514.029296875		-65536
35050.54296875	26515.80078125		-65536
33958.546875	26531.90625		-65536
34152.375	26521.62109375		-65536
34438.69140625	26524.333984375		-65536
35351.72265625	26521.29296875		-65536
34126.0546875	26528.11328125		-65536
34473.27734375	26521.322265625		-65536
34988.23828125	26523.15234375		-65536
33848.81640625	26525.873046875		-65536
